Frame,Landmark_ID,Landmark_X,Landmark_Y,Landmark_Z
0,0,226.11380338668823,192.40737915039062,118.21008682250977
0,1,224.07249212265015,195.74283599853516,88.98918151855469
0,2,223.30645322799683,195.7062530517578,89.01361465454102
0,3,222.52981424331665,195.6332778930664,89.02240753173828
0,4,226.58100128173828,196.337890625,103.46474647521973
0,5,227.6508593559265,196.7242431640625,103.47609519958496
0,6,228.70232820510864,197.0572280883789,103.41384887695312
0,7,223.45320224761963,194.9582290649414,4.616461992263794
0,8,232.99004316329956,196.47987365722656,69.02595520019531
0,9,225.7577347755432,189.4913101196289,93.8775634765625
0,10,228.58353853225708,190.108642578125,112.2201919555664
0,11,218.43753576278687,176.3336944580078,-20.011463165283203
0,12,256.3296604156494,177.74898529052734,60.873780250549316
0,13,208.37440252304077,157.33753204345703,17.16899275779724
0,14,264.7554659843445,150.97103118896484,150.84529876708984
0,15,196.99503421783447,179.91107940673828,98.02261352539062
0,16,269.6771264076233,150.03582000732422,264.1036796569824
0,17,192.7033281326294,186.0934829711914,103.54008674621582
0,18,272.0916724205017,150.13824462890625,281.4159965515137
0,19,194.9347972869873,188.77906799316406,102.85309791564941
0,20,270.883412361145,150.45757293701172,274.8986625671387
0,21,197.23145484924316,186.8667984008789,101.70105934143066
0,22,268.38855028152466,150.4016876220703,265.7349395751953
0,23,229.00041818618774,114.59033966064453,-5.185222029685974
0,24,249.52571153640747,114.46891784667969,4.937282502651215
0,25,223.92464876174927,68.9068603515625,15.550973415374756
0,26,244.3681240081787,64.01100158691406,27.696030139923096
0,27,224.17641162872314,22.42359161376953,30.172488689422607
0,28,242.90923833847046,10.485610961914062,18.83169412612915
0,29,226.62292957305908,14.145736694335938,32.069904804229736
0,30,240.69308996200562,6.1676025390625,17.818188667297363
0,31,222.64995574951172,16.366653442382812,17.943389415740967
0,32,241.42443180084229,9.029159545898438,-6.553090214729309
1,0,226.14609718322754,192.76512145996094,138.07662963867188
1,1,224.12875413894653,195.98411560058594,109.88693237304688
1,2,223.39743375778198,195.9664535522461,109.9177360534668
1,3,222.66175746917725,195.9176254272461,109.92115020751953
1,4,226.59263134002686,196.51390075683594,122.52820014953613
1,5,227.6654291152954,196.8834686279297,122.53498077392578
1,6,228.7188720703125,197.21473693847656,122.45512962341309
1,7,223.6858892440796,195.18394470214844,25.724480152130127
1,8,232.97749042510986,196.6120147705078,81.55930519104004
1,9,225.89568614959717,189.9224090576172,113.44358444213867
1,10,228.61368656158447,190.45738220214844,129.26417350769043
1,11,218.9358687400818,176.56810760498047,-8.333531618118286
1,12,256.55975103378296,177.99495697021484,66.58727169036865
1,13,208.13141584396362,157.97443389892578,19.91826057434082
1,14,265.8386492729187,151.46224975585938,152.18131065368652
1,15,196.40827417373657,180.52570343017578,101.49881362915039
1,16,269.65702056884766,148.16959381103516,267.67303466796875
1,17,192.2664499282837,186.17488861083984,106.41160011291504
1,18,271.66863441467285,147.314453125,285.8637237548828
1,19,194.32915449142456,189.00413513183594,108.83588790893555
1,20,269.55007553100586,147.66117095947266,280.75578689575195
1,21,196.31858110427856,187.24090576171875,105.97782135009766
1,22,267.8576874732971,148.19793701171875,269.70001220703125
1,23,229.53383445739746,115.36670684814453,-6.692184209823608
1,24,249.6298885345459,114.688720703125,6.4356911182403564
